"","options","x1","x2"
"1",1,2,1
"2",2,3,0
"3",3,1,1
"4",4,1,0
"5",5,6,3
"6",6,17,0
"7",7,18,7
"8",8,51,13
"9",9,61,31
"10",10,123,51
"11",11,148,115
"12",12,622,412
"13",13,960,835
"14",14,1209,1101
"15",15,1486,1387
"16",16,1884,1834
"17",17,1201,1192
"18",18,1502,1430
"19",19,605,695
"20",20,528,598
"21",21,433,467
"22",22,239,278
"23",23,146,173
"24",24,97,128
"25",25,140,177
"26",26,53,54
"27",27,41,49
"28",28,38,51
"29",29,16,14
"30",30,71,88
"31",31,13,14
"32",32,9,17
"33",33,6,12
"34",34,10,14
"35",35,41,53
"36",36,11,10
"37",37,3,5
"38",38,8,11
"39",39,1,10
"40",40,20,29
"41",41,3,2
"42",42,1,4
"43",43,4,1
"44",44,2,3
"45",45,6,19
"46",46,1,4
"47",47,2,0
"48",48,3,3
"49",49,2,2
"50",50,5,4
"51",52,1,2
"52",53,0,1
"53",54,1,0
"54",55,3,2
"55",56,0,1
"56",59,0,1
"57",60,3,1
"58",61,1,0
"59",62,1,0
"60",64,0,1
"61",65,2,0
"62",68,0,1
"63",69,0,1
"64",70,1,0
"65",72,0,1
"66",77,0,1
