"","options","x1","x2","x3","x4","x5","x6"
"1",1,290123,866758,575767,644205,391628,128753
"2",2,239791,580698,338639,384180,389279,64676
"3",3,179376,357578,170838,231977,201907,19553
"4",4,91065,268136,145238,275885,176613,59294
"5",5,90085,302093,272814,296181,276181,3212
"6",6,47221,108865,82327,122435,38594,0
"7",7,28778,181044,152864,60471,67583,0
"8",8,26731,122443,32618,90309,116131,16857
"9",9,19282,45944,12956,29474,33505,0
"10",10,100228,311484,173664,112997,96125,0
"11",11,2572,2142,0,1303,9182,0
"12",12,60831,98778,56661,87551,153838,42706
"13",13,14118,26048,11888,11825,1052,0
"14",14,16476,32418,36424,24865,26669,0
"15",15,80342,343878,266744,216425,148366,39060
"16",16,9820,30322,26640,55162,8953,0
"17",17,7694,29471,42064,5057,3403,0
"18",18,4467,23764,20113,31652,32899,0
"19",19,10214,15959,0,0,0,0
"20",20,97564,456281,274766,345141,174334,95591
"21",21,634,16055,30772,34900,14003,0
"22",22,6716,35467,21084,7466,8364,0
"23",23,15724,56555,1151,13342,14350,0
"24",24,13496,60190,38587,26932,39548,0
"25",25,51335,429701,393438,166571,177632,50072
"26",26,4811,77721,78216,9745,10269,0
"27",27,9239,124842,34117,59378,25135,0
"28",28,18935,217936,150375,151566,144696,784
"29",29,20833,118449,53980,44682,27486,28990
"30",30,143117,1408377,1193473,988931,811950,83456
